FaultName,FaultID,State,SiteName,SCECId,SliprateId,Longitude,Latitude,DistToCFMFault,CFM7ObjectName,Observation,PrefRate,LowRate,HighRate,RateUnct,RateType,ReptReint,OffsetType,AgeType,NumEvents,RateAge,QbinMin,QbinMax,UCERF3AppB,ShortReferences,Links,FullReferences
Hilton Creek,115,CA,Hilton Lakes,S-0079,SR-0106,-118.763000000000,37.506610000000,0.01,SNLV-MLRV-HLCR-Hilton_Creek-CFM7,"Rate reported by Clark and Gillespie (1993), age and offset values not reported.",N/A,0.1,0.8,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,unlisted,unlisted,unlisted,1,5,yes,Clark and Gillespie (1993),N/A,"Clark, M.M., and Gillespie, A.R., 1993, Variations in late Quaternary behavior along and among range-front faults of the Sierra Nevada, California: Geological Society of America Abstracts with Programs, v. 25, no. 5, p. 21."
Hilton Creek,115,CA,McGee Creek MN1A,S-0080,SR-0107,-118.787907038000,37.562582707100,0.01,SNLV-MLRV-HLCR-Hilton_Creek-CFM7,"Rate revised to the reported rate of Berry (1997), rather than Clark and Gillespie (1993). Berry (1997) is preferred because data is presented. Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",N/A,0.9,1.2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,yes,Berry (1997),https://doi.org/10.1016/S0169-555X(97)00033-0,"Margaret E. Berry (1997). Geomorphic analysis of late Quaternary faulting on Hilton Creek, Round Valley and Coyote warp faults, east-central Sierra Nevada, California, USA, Geomorphology, v. 20, no. 1-2, p. 177-195, https://doi.org/10.1016/S0169-555X(97)00033-0"
Hilton Creek,115,CA,McGee Creek MN2A,S-0082,SR-0109,-118.787907038000,37.562582707100,0.01,SNLV-MLRV-HLCR-Hilton_Creek-CFM7,"Rate revised to the reported rate of Berry (1997), rather than Clark and Gillespie (1993). Berry (1997) is preferred because data is presented. Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",N/A,1,1.3,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,yes,Berry (1997),https://doi.org/10.1016/S0169-555X(97)00033-0,"Margaret E. Berry (1997). Geomorphic analysis of late Quaternary faulting on Hilton Creek, Round Valley and Coyote warp faults, east-central Sierra Nevada, California, USA, Geomorphology, v. 20, no. 1-2, p. 177-195, https://doi.org/10.1016/S0169-555X(97)00033-0"
Hilton Creek,115,CA,"McGee Creek ""Tahoe""",S-0081,SR-0108,-118.787907038000,37.562582707100,0.01,SNLV-MLRV-HLCR-Hilton_Creek-CFM7,"Rate revised to the reported rate of Berry (1997), rather than Clark and Gillespie (1993). Berry (1997) is preferred because data is presented. Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",N/A,0.9,2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,yes,Berry (1997); Clark and Gillespie (1993),https://doi.org/10.1016/S0169-555X(97)00033-0; N/A,"Margaret E. Berry (1997). Geomorphic analysis of late Quaternary faulting on Hilton Creek, Round Valley and Coyote warp faults, east-central Sierra Nevada, California, USA, Geomorphology, v. 20, no. 1-2, p. 177-195, https://doi.org/10.1016/S0169-555X(97)00033-0; Clark, M.M., and Gillespie, A.R., 1993, Variations in late Quaternary behavior along and among range-front faults of the Sierra Nevada, California: Geological Society of America Abstracts with Programs, v. 25, no. 5, p. 21."
Hilton Creek,115,CA,Tobacco Flat,S-0083,SR-0110,-118.814075303000,37.611936757200,0.03,SNLV-MLRV-HLCR-Hilton_Creek-CFM7,"Rate reported by Clark and Gillespie (1993), age and offset values not reported.",N/A,1.1,2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,unlisted,unlisted,unlisted,1,5,yes,Clark and Gillespie (1993),N/A,"Clark, M.M., and Gillespie, A.R., 1993, Variations in late Quaternary behavior along and among range-front faults of the Sierra Nevada, California: Geological Society of America Abstracts with Programs, v. 25, no. 5, p. 21."
Hollywood,116,CA,Camino Palmero,S-0084,SR-0111,-118.350213523000,34.103598746900,0.22,WTRA-SFFS-LABS-Hollywood_fault-CFM5,"Offset is only vertical component. Dolan and others (1997) assume a 1:1 Hz to Vertical ratio and report a minimum 0.35+/- 0.2 mm/yr oblique slip rate, but they note the rate could be higher.",0.35,0.33,0.37,unknown,net,"reported (author reported rate as recorded in Appendix B, including reported min and max rates; authors note this rate may be a minimum)",thickness of basin filling deposits,unlisted,unlisted,750-2600,0.2,1,yes,Dolan et al. (1997),https://doi.org/10.1130/0016-7606(1997)109%3C1595:ATPASH%3E2.3.CO;2,"James F. Dolan, Kerry Sieh, Thomas K. Rockwell, Paul Guptill, Grant Miller (1997). Active tectonics, paleoseismology, and seismic hazards of the Hollywood fault, northern Los Angeles basin, California. GSA Bulletin 1997; 109 (12): 1595-1616. https://doi.org/10.1130/0016-7606(1997)109%3C1595:ATPASH%3E2.3.CO;2"
Holser,117,CA,"Near Ramona Oil field, to Castaic Junction oil field.",S-0085,SR-0056,-118.701353116000,34.444828325800,0.49,WTRA-SCFZ-SCLV-Holser_fault-CFM2,"Stitt (1986) presents three crossections. Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field. The three crossections are within 6 km of each other. 450 m is assumed to be representative along the fault (as the 1800 m value appears to be localized). Age control is based on the fault being ""entirely...post Saugus"". Saugus ages are from Breyer and others (2009), who report the Saugus Formation as 2.6 - 0.78 Ma.",N/A,0,1,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,no,Stitt (1986); Breyer et al. (2009),N/A; N/A,"Stitt, L.T., 1986, Structural history of the San Gabriel fault and other Neogene structures of the central Transverse Ranges, California, in Ehlig, P.L., compiler, Neotectonics and faulting in southern California: Geological Society of America Guidebook and Volume, 82nd Annual Meeting of the Cordilleran Section of the Geological Society of America, p. 43-102.; N/A"
Holser,117,CA,"Near Ramona Oil field, to Castaic Junction oil field.",S-0086,SR-0057,-118.701353116000,34.444828325800,0.49,WTRA-SCFZ-SCLV-Holser_fault-CFM2,"Stitt (1986) presents three crossections. Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field. The three crossections are within 6 km of each other. 450 m is assumed to be representative along the fault (as the 1800 m value appears to be localized). Age control is based on the fault being ""entirely...post Saugus"". Saugus ages are from Breyer and others (2009), who report the Saugus Formation as 2.6 - 0.78 Ma.",N/A,1,5,unknown,unprojected (vertical),reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,no,Stitt (1986); Breyer et al. (2009),N/A; N/A,"Stitt, L.T., 1986, Structural history of the San Gabriel fault and other Neogene structures of the central Transverse Ranges, California, in Ehlig, P.L., compiler, Neotectonics and faulting in southern California: Geological Society of America Guidebook and Volume, 82nd Annual Meeting of the Cordilleran Section of the Geological Society of America, p. 43-102.; N/A"
Honey Lake,120,CA,Honey Lake,S-0088,SR-0115,-120.122194860000,40.053722925900,0.08,SNLV-WSHL-HNLK-Honey_Lake-CFM7,"Minimum slip rate, both in terms of along strike location and use of radiocarbon. Also, this fault is parallel to the Warms Springs fault, about 7 km NW, which is geomorphically well expressed and may take up some unknown fraction of slip across a broad zone. ",1.7,1.1,2.3,unknown,horizontal,"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",Offset channel/terrace riser,C14,unlisted,1-11,1,5,no,Turner et al. (2008); Wills and Borchart (1993),https://doi.org/10.1785/0120070090; https://doi.org/10.1130/0091-7613(1993)021%3C0853:HSRAER%3E2.3.CO;2,"Turner, R., Koehler, R.D., Briggs, R.W., and Wesnousky, S.G., 2008, Paleoseismic and slip-rate observations along the Honey Lake Fault Zone, northeastern California, USA: Bulletin of the Seismological Society of America, v. 98, no. 4, p. 1730-1736, https://doi.org/10.1785/0120070090; Wills, C.J., and Borchardt, G., 1993, Holocene slip rate and earthquake recurrence on the Honey Lake fault zone, northeastern California: Geology, v. 21, no. 9, p. 853-856. https://doi.org/10.1130/0091-7613(1993)021%3C0853:HSRAER%3E2.3.CO;2"
Honey Lake,120,CA,Long Valley Creek,S-0087,SR-0114,-120.119731246000,40.051666528300,0.09,SNLV-WSHL-HNLK-Honey_Lake-CFM7,offset fluvial terrace risers range from 6.6-28.3 m since 15.8 +/- 0.6 ka,1.6,1.3,1.9,95% CI reported by authors,projeted (strike-slip),reported min and max; prefered = midpoint between bounds on rate,T2/T1 riser,regional age correlation,unknown,15.8 +/- 0.6,1,5,no,"Gold et al., (2017) EPSL",https://doi.org/10.1016/j.epsl.2017.08.021,"Gold, R. D., Briggs, R. W., Crone, A. J., & DuRoss, C. B. (2017). Refining fault slip rates using multiple displaced terrace risers - An example from the Honey Lake fault, NE California, USA. Earth and Planetary Science Letters, 477, 134-146. https://doi.org/10.1016/j.epsl.2017.08.021"
Hosgri,121,CA,Airport Creek,S-0092,SR-0119,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,"Both feature offset and age constraints are noted by authors as ""poorly constrained"".",N/A,0.9,3.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,C14,unlisted,1-11,1,5,yes,Hall et al. (1994),https://doi.org/10.1130/SPE292-p167,"Hall, N.T., Hunt, T.D., and Vaughan, P.R., 1994, Holocene behavior of the San Simeon fault zone, south-central California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 167-189. https://doi.org/10.1130/SPE292-p167"
Hosgri,121,CA,Oso Terrace,S-0090,SR-0117,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994). The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line. Hanson and Lettis (1994) report two other, poorly-constrained rates for the Tripod terrace (120 ka) and San Simeon terrace (80, or 105 ka). The reported slip rate for the Tripod terrace is 0.8 - 7.8 m/yr. They report a maximum rate of 8.6 - 11.2 mm/yr for the San Simeon terrace. They also note preferred rate of 1 - 3 mm/yr is consistent with the geomorphic expression of the fault and the shorter term rate reported by Hall and others (1994).",N/A,0.7,2.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),unlisted,correlation (used sea level curves),unlisted,130-750,1,5,yes,Hanson and Lettis (1994); Hall et al. (1994),https://doi.org/10.1130/SPE292-p133; https://doi.org/10.1130/SPE292-p167,"Hanson, K., and Lettis, W.R., 1994,Estimated Pleistocene slip-rate for the San Simeon fault zone, south-central coastal California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 133-150. https://doi.org/10.1130/SPE292-p133; Hall, N.T., Hunt, T.D., and Vaughan, P.R., 1994, Holocene behavior of the San Simeon fault zone, south-central California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 167-189. https://doi.org/10.1130/SPE292-p167"
Hosgri,121,CA,San Simeon Terrace,S-0089,SR-0116,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994). The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line. Hanson and Lettis (1994) report two other, poorly-constrained rates for the Tripod terrace (120 ka) and San Simeon terrace (80, or 105 ka). The reported slip rate for the Tripod terrace is 0.8 - 7.8 m/yr. They report a maximum rate of 8.6 - 11.2 mm/yr for the San Simeon terrace. They also note preferred rate of 1 - 3 mm/yr is consistent with the geomorphic expression of the fault and the shorter term rate reported by Hall and others (1994).",8.6,8.6,11.2,unknown,horizontal,"reported (author reported rate as recorded in Appendix B as a maximum rate, thus PrefRate = low end of rante = LowRate)",unlisted,unlisted,unlisted,unlisted,1,5,yes,Hanson and Lettis (1994); Hall et al. (1994),https://doi.org/10.1130/SPE292-p133; https://doi.org/10.1130/SPE292-p167,"Hanson, K., and Lettis, W.R., 1994,Estimated Pleistocene slip-rate for the San Simeon fault zone, south-central coastal California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 133-150. https://doi.org/10.1130/SPE292-p133; Hall, N.T., Hunt, T.D., and Vaughan, P.R., 1994, Holocene behavior of the San Simeon fault zone, south-central California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 167-189. https://doi.org/10.1130/SPE292-p167"
Hosgri,121,CA,Tripod Terrace,S-0091,SR-0118,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994). The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line. Hanson and Lettis (1994) report two other, poorly-constrained rates for the Tripod terrace (120 ka) and San Simeon terrace (80, or 105 ka). The reported slip rate for the Tripod terrace is 0.8 - 7.8 m/yr. They report a maximum rate of 8.6 - 11.2 mm/yr for the San Simeon terrace. They also note preferred rate of 1 - 3 mm/yr is consistent with the geomorphic expression of the fault and the shorter term rate reported by Hall and others (1994).",N/A,0.8,7.8,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),unlisted,unlisted,unlisted,unlisted,1,5,yes,Hanson and Lettis (1994); Hall et al. (1994),https://doi.org/10.1130/SPE292-p133; https://doi.org/10.1130/SPE292-p167,"Hanson, K., and Lettis, W.R., 1994,Estimated Pleistocene slip-rate for the San Simeon fault zone, south-central coastal California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 133-150. https://doi.org/10.1130/SPE292-p133; Hall, N.T., Hunt, T.D., and Vaughan, P.R., 1994, Holocene behavior of the San Simeon fault zone, south-central California, in Alterman, I.B., McMullen, R.B., Cluff, L.S., and Slemmons, D.B., eds., Seismotectonics of the Central California Coast Ranges: Geological Society of America Special Paper 292, p. 167-189. https://doi.org/10.1130/SPE292-p167"
Hunter Mountain - Saline Valley,123,CA,Grapevine Canyon,S-0095,SR-0122,-117.553927742000,36.531253455200,0.34,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,"Assumed 15 ka age, based on correlation of climate change to channel incision. Rate is consistent with long term rate of Burchfiel and others. (1987).",N/A,3.3,4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,correlation to assumed climate indicators,unlisted,11-130,1,5,yes,Oswald and Wesnousky (2002),https://doi.org/10.1016/S0169-555X(01)00089-7,"Oswald, J.A., and Wesnousky, S.G., 2002, Neotectonics and Quaternary geology of the Hunter Mountain fault zone and Saline Valley region, southeastern California: Geomorphology, v. 42, p. 255-278, https://doi.org/10.1016/S0169-555X(01)00089-7"
Hunter Mountain - Saline Valley,123,CA,n/a,S-0094,SR-0121,-117.644074462000,36.588092100800,1.1,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,"Slip rate assumes initiation of dextral slip is related to the onset of normal slip on the East Inyo fault zone to the north (in this case, the northern extension of the Hunter Mt - Saline Valley fault zone).",3.3,2.3,4.3,unknown,horizontal,reported (author reported as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),geologic contact,(U-Th)/He,unlisted,>2600,1,5,yes,Lee et al. (2009),https://doi.org/10.1029/2008TC002295,"Lee, J., Stockli, D.F., Owen, L.A., and Finkel, R.C., 2009,Exhumation of the Inyo Mountains, California-Implications for the timing of extension along the western boundary of the Basin and Range Province and distribution of dextral fault slip rates across the eastern California shear zone: Tectonics, v. 28, no. TC1001, https://doi.org/10.1029/2008TC002295"
Hunter Mountain - Saline Valley,123,CA,Nelson Range Front,S-0093,SR-0120,-117.675860396000,36.612934283600,0.94,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,"Authors interpretation of age of incision does not appear to be correct. They use the age of the Qf2 (10 - 128 ka) surface to constrain the slip rate. However, the surface below the riser (Qf1) is Holocene, and would have to be abandoned before slip could start accruing, therefore the offset has to be Holocene age. Based on this, a minimum rate of 1.6 - 2.0 mm/yr is calculated, and is the preferred minimum rate.",N/A,1.6,2,unknown,horizontal,reported (Appendix B has reinterpreted the age relationships and the reported rate here reflects those reinterpretations).,offset channel,See comments,unlisted,11-130,1,5,yes,Oswald and Wesnousky (2002),https://doi.org/10.1016/S0169-555X(01)00089-7,"Oswald, J.A., and Wesnousky, S.G., 2002, Neotectonics and Quaternary geology of the Hunter Mountain fault zone and Saline Valley region, southeastern California: Geomorphology, v. 42, p. 255-278, https://doi.org/10.1016/S0169-555X(01)00089-7"
Imperial,126,CA,US - Mexico Border,S-0096,SR-0124,-115.355380427000,32.676180841600,0.29,SALT-IMFZ-IMPV-Imperial_fault_Edip_Nend-CFM5,Only a one event slip rate. Slip rate appears to be nearly a full interval between earthquakes.,N/A,15,20,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,correlation to lake highstand,1,<1,5,35,yes,Thomas and Rockwell (1996),https://doi.org/10.1029/95JB01547,"Thomas, A.P., and Rockwell, T.K., 1996, A 300- to 550-year history of slip on the Imperial fault near the U.S.-Mexico missing slip at the Imperial fault bottleneck: Journal of Geophysical Research, v. 101, no. B3, p. 5987-5997. https://doi.org/10.1029/95JB01547"
Incline Village,1002,CA,per Dingler and others (2009),S-0097,SR-0191,-119.964099060000,39.234123851100,0.05,SNLV-IVPM-INCV-Incline_Village-CFM7,Similar to ~60 ka rate.,N/A,0.12,0.23,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),paleoterrace,correlation,1?,11-130,0.2,1,yes,Dingler et al. (2009),https://doi.org/10.1130/B26244.1,"Dingler, J., Kent, G., Driscoll, N., Seitz, G., Babcock, J., Harding, A., Karlin, B., and Goldman, C., 2009, A high-resolution seismic CHIRP investigation of active normal faulting across the Lake Tahoe basin, California-Nevada: Geological Society of America Bulletin, p. 1089-1107, v. 121, https://doi.org/10.1130/B26244.1"
Incline Village,1002,CA,per Dingler and others (2009),S-0098,SR-0192,-119.964099060000,39.234123851100,0.05,SNLV-IVPM-INCV-Incline_Village-CFM7,Similar to ~19 ka rate.,N/A,0.18,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),boulder surface,correlation/ C14,unlisted,11-130,0.2,1,yes,Dingler et al. (2009),https://doi.org/10.1130/B26244.1,"Dingler, J., Kent, G., Driscoll, N., Seitz, G., Babcock, J., Harding, A., Karlin, B., and Goldman, C., 2009, A high-resolution seismic CHIRP investigation of active normal faulting across the Lake Tahoe basin, California-Nevada: Geological Society of America Bulletin, p. 1089-1107, v. 121, https://doi.org/10.1130/B26244.1"
Incline Village,1002,NV,approx in Incline Village,S-0099,SR-0193,-119.962801976000,39.250930839100,0.04,SNLV-IVPM-INCV-Incline_Village-CFM7,8.2 m of vertical separation in surface less than 35-12 ky old,0.35,0.23,0.68,unknown,unprojected (vertical),reinterpreted (low = 8.2 m/35 ka; high = 8.2m/12ka; pref = 8.2m/23.5 ka),scarp height,relative/regional correlation?,unlisted,12-35,0.2,1,no,Lewis and Grose (1988) AGU abstract; Qfaults page,N/A; N/A,N/A; N/A
Independence,127,CA,Independence Creek,S-0100,SR-0125,-118.305413403000,36.783974091600,0.04,SNFA-SSNZ-INDP-Independence_fault-CFM1,"Slip and age data from Clark and others (1984), vertical slip rates calculated by UCERF3 Appendix B.",N/A,0.05,0.12,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from data),moraine,correlation,?,11-130,0.2,1,yes,Clark et al. (1984),https://doi.org/10.3133/ofr84106,"Clark, M.M., Harms, K.K., Lienkaemper, J.J., Harwood, D.S., Lajoie, K.R., Matti, J.C., Perkins, J.A., Rymer, M.J., Sarna-Wojcicki, A.M., Sharp, R.V., Sims, J.D., Tinsley, J.C., III, and Ziony, J.I., 1984, Preliminary slip rate table and map of late Quaternary faults of California: U.S. Geological Survey Open-File Report 84-106, 12 p., 5 plates, scale 1:1,000,000. https://doi.org/10.3133/ofr84106 "
Independence,127,CA,Independence Creek,S-0101,SR-0126,-118.307150603000,36.789303587500,0.05,SNFA-SSNZ-INDP-Independence_fault-CFM1,"Slip and age data from Clark and others (1984), vertical slip rates calculated by UCERF3 Appendix B.",N/A,0.07,0.16,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from data),glacial outwash,correlation,2?,11-130,0,0.2,yes,Clark et al. (1984),https://doi.org/10.3133/ofr84106,"Clark, M.M., Harms, K.K., Lienkaemper, J.J., Harwood, D.S., Lajoie, K.R., Matti, J.C., Perkins, J.A., Rymer, M.J., Sarna-Wojcicki, A.M., Sharp, R.V., Sims, J.D., Tinsley, J.C., III, and Ziony, J.I., 1984, Preliminary slip rate table and map of late Quaternary faults of California: U.S. Geological Survey Open-File Report 84-106, 12 p., 5 plates, scale 1:1,000,000. https://doi.org/10.3133/ofr84106 "
Independence,127,CA,Independence Creek,S-0102,SR-0127,-118.306529190000,36.787397262700,0.03,SNFA-SSNZ-INDP-Independence_fault-CFM1,"Slip and age data from Clark and others (1984), vertical slip rates calculated by UCERF3 Appendix B.",N/A,0.08,0.19,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from data),glacial outwash,correlation,1?,11-130,0,0.2,yes,Clark et al. (1984),https://doi.org/10.3133/ofr84106,"Clark, M.M., Harms, K.K., Lienkaemper, J.J., Harwood, D.S., Lajoie, K.R., Matti, J.C., Perkins, J.A., Rymer, M.J., Sarna-Wojcicki, A.M., Sharp, R.V., Sims, J.D., Tinsley, J.C., III, and Ziony, J.I., 1984, Preliminary slip rate table and map of late Quaternary faults of California: U.S. Geological Survey Open-File Report 84-106, 12 p., 5 plates, scale 1:1,000,000. https://doi.org/10.3133/ofr84106 "
Independence,127,CA,Symmes Creek,S-0103,SR-0128,-118.276041151000,36.731511374500,0.11,SNFA-SSNZ-INDP-Independence_fault-CFM1,Representative site of study by Le and others (2007) along the fault. They report similar vertical slip rates for other surfaces along this fault zone over different time periods. ,N/A,0.2,0.4,unknown,unprojected (vertilcal),reported (only range listed in Appendix B; no pref rate included),fan surface,10Be,unlisted,11-130,0.2,1,yes,Le et al. (2007),https://doi.org/10.1130/B25960.1,"Kimberly Le, Jeffrey Lee, Lewis A. Owen, Robert Finkel, (2007). Late Quaternary slip rates along the Sierra Nevada frontal fault zone, California: Slip partitioning across the western margin of the Eastern California Shear Zone-Basin and Range Province. GSA Bulletin, 119 (1-2): 240-256. https://doi.org/10.1130/B25960.1 "
Indian Head,1064,NV,IH,S-0235,SR-0498,-118.306042768000,38.571127649700,74.27,N/A,8 +/- 0.8 m of displacement of alluvial fan terrace riser dated at 10.3 +/- 0.5,0.8,0.7,0.9,95% CI (reported; averaged to origin using Zechar and Frankel method),projected (strike-slip),reported,terrace riser,10Be,unknown,10.3 +/- 0.5,0,0.2,no,"Angster et al., (2019)",https://doi.org/10.1130/GES02088.1,"Angster, S. J., Wesnousky, S. G., Figueiredo, P. M., Owen, L. A., & Hammer, S. J. (2019). Late Quaternary slip rates for faults of the central Walker Lane (Nevada, USA): Spatiotemporal strain release in a strike-slip fault system. Geosphere, 15(5), 1460-1478. https://doi.org/10.1130/GES02088.1"
Inks Creek - Hooker Dome,321,CA,wind gap,S-0104,SR-0779,-122.178054003000,40.319041558200,7.93,N/A,T3 terrace elevation differences to determine uplift where anticline crosses Sacramento River; 4.8 +/- 0.5 m of T3 elevation difference since 27.7 +/- 9.3 ka,0.2,0.1,0.3,unknown,unprojected (vertical),reported,T3 elevation difference,luminescence,unknown,27.7 +/- 9.3,0,0.2,no,"Angster et al., (2020)",https://doi.org/10.1130/G48114.1 ,"Stephen Angster, Steven Wesnousky, Paula Figueiredo, Lewis A. Owen, Thomas Sawyer, (2020). Characterizing strain between rigid crustal blocks in the southern Cascadia forearc: Quaternary faults and folds of the northern Sacramento Valley, California. Geology, 49 (4): 387-391. https://doi.org/10.1130/G48114.1"
Jackson Mountains,1067,NV,Hobo Canyon,S-0236,SR-0501,-118.550442993000,41.293194861500,125.51,N/A,7.5 +/- 0.5m of displacement of shoreline since 15.6 +/- 0.3 ka,0.5,0.4,0.6,unknown,unprojected (vertical),reported,shoreline,Lake Lahontan high stand,3-Feb,15.6 +/- 0.3,0,0.2,no,"Personius et al., (2017)",https://doi.org/10.1130/GES01380.1 ,"Stephen F. Personius, Richard W. Briggs, J. Zebulon Maharrey, Stephen J. Angster, Shannon A. Mahan, (2017). A paleoseismic transect across the northwestern Basin and Range Province, northwestern Nevada and northeastern California, USA. Geosphere, 13 (3): 782-810. https://doi.org/10.1130/GES01380.1 "
Kern Canyon (Lake Isabella),132,CA,Isabella Auxiliary Dam,S-0105,SR-0132,-118.474715312000,35.639986255600,0.02,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,"No offset data reported, just slip rate.",N/A,0.1,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,yes,Lutz et al. (2010),N/A,"Lutz, A., Kozaci, O., Kelson, K.I., Simpson, D., Baldwin, J.N., Amos, C.B., Turner, R., and Rose, R., 2010, A record of Late Pleistocene and Holocene surface-rupturing earthquakes along the Lake Isabella section of the Kern Canyon fault [abs.]: Eos (American Geophysical Union Transactions), v 91, Fall meeting supplement, abs. EP53B-0613."
Kern Canyon (north),133,CA,Soda Spring,S-0106,SR-0133,-118.413542849000,36.345009851500,0.47,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,Additional slip may be on a another strand to the west. No info about number of events could make the reported rate poorly-constrained.,N/A,0.1,0.2,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,yes,Amos et al. (2010),https://doi.org/10.1130/L100.1,"Amos, C.B., Kelson, K.I., Rood, D.H., Simpson, D.T., and Rose, R., 2010a, Late Quaternary slip rate on the Kern Canyon fault at Soda Spring, Tulare County, California: Lithosphere, v. 2, p. 411-417. https://doi.org/10.1130/L100.1"
Kern Canyon (south),134,CA,Rincon Spring,S-0107,SR-0134,-118.449106003000,36.057731378200,0.05,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,"No offset data reported, just slip rate. Rate is similar to 5 ky rate.",N/A,0.2,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,yes,"Kelson (written communication to UCERF3, 2012)",N/A,N/A
