Fault Name,NSHM23 Fault ID,State,Site Name,CPD ID,NSHM23 Slip Rate ID,Longitude,Latitude,Distance To Nearest CFM Fault (km),CFM6.0 Object Name,Data Type,Observation,Preferred Rate,Low Rate,High Rate,Rate Uncertainty,Rate Type,ReptReint,Offset Type,Age Type,Num Events,Rate Age,Qbin Min,Qbin Max,References,UCERF3 AppB
Garlock (center),881,CA,Searles Valley,S-0060,SR-0419,-117.264665817000,35.544866290000,0.23,GRFS-GRFZ-EAST-Garlock_fault-CFM5,slip rate study,"Reported slip rate is based on two offset features.  The maximum rate of 11 mm/yr is based on an offset shoreline (82 - 106 (90) m), dated between 10 k.y. and 13 k.y. A post-highstand channel is offset 68 m, provides the minimum rate.",N/A,5,9,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),incised channel,C14,unlisted,11-130,5,35,McGill and Sieh (1991),yes
Garlock (center),881,CA,channel 449100,S-0061,SR-0420,-117.559264585000,35.476862784800,0.29,GRFS-GRFZ-EAST-Garlock_fault-CFM5,slip rate study,"This rate is located on the same fan as the rate reported above, but is based on an offset incised channel thalweg.  Dating relies on correlation to climatic events, namely the end of the Younger Dryas at ~11.5 ka or the onset of the summer monsoonal pat",6.6,5.4,7.8,unknown,horizontal,reported (two preferred rates with uncertainties listed; selected the rate associated with the onset of summer monsoon patterns--uncertainty associated with this rate includes the rates estimated with Younger Dryas slightly and more with 10Be derived rat,incised stream thalweg,climate correlation,unlisted,1-11,5,35,Ganev and others (2012),yes
Garlock (west),880,CA,Clark Wash,S-0062,SR-0414,-118.087524107000,35.206589971700,0.22,GRFS-GRFZ-WEST-Garlock_fault-CFM5,slip rate study,Offset channel.  Uncertainties in dating and offset feature appear to be accounted for.,7.6,5.3,10.7,95% CI (author reported),horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset channel,C14,unlisted,1-11,5,35,McGill and others (2009),yes
Garlock (west),880,CA,Oak Creek Canyon,S-0063,SR-0415,-118.398478590000,35.035639035100,0.3,GRFS-GRFZ-WEST-Garlock_fault-CFM5,slip rate study,"Age control based on soil development and correlation to soils in San Joaquin Valley, which makes the dating highly uncertain.",N/A,1.6,3.3,unknown,horizontal,reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),soil,correlation to soil development,unlisted,11-130,5,35,LaViollette and others (1980),yes
Genoa (south),1001,CA,Woodfords,S-0064,SR-0432,-119.818858938000,38.778202781800,215.45,N/A,slip rate study,50 m tall scarp in Qo2 surface estimated to be 70-150 ka,0.45,0.33,0.71,unknown,unprojected (vertical),reinterpreted (low = 50m/150 ka; high = 50m/70ka; pref = 50m/110 ka (average)),scarp height,relative geomorphic relationships,unknown,70-150,1,5,"Ramelli et al., (1999) BSSA",no
Gillem - Big Crack,87,CA,per Bryant (1990),S-0065,SR-0078,-121.565308326000,41.750271659600,573.45,N/A,slip rate study,"Slip rate may be related to volcanism, and appears to die during waning stages of volcanism. Holocene basalt flow not offset.",N/A,0.15,0.38,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset outwash surface,correlation,unlisted,11-130,0.2,1,Bryant (1990b),yes
Great Valley 10 (Panoche),91,CA,approx centroid,S-0066,SR-0082,-120.701757383000,36.713729392100,50.16,N/A,slip rate study,"Geologic rate reported by USBR, Anderson and Piety (2001). Amount of uplift not reported, but 0.25 - 0.5 mm/yr uplift rate is reported, and they calculate a slip rate of 0.5 - 1.5 mm/yr. Assumed fault dip of 30 degrees.",1,0.5,1.5,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),bedrock unit,stratigraphic age,unlisted,130-750,1,5,Anderson and Piety (2001).,yes
Great Valley 6 (Midland),103,CA,near Webb Tract,S-0067,SR-0093,-121.630315482000,38.063099534500,208.81,N/A,slip rate study,Slip rate based on offset of base of Holocene peat.,0.4,0.2,0.6,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),base of peat,C14,unlisted,1-11,0.2,1,Unruh and Hitchcock (2009),no
Great Valley 6 (Midland),103,CA,near Webb Tract,S-0068,SR-0094,-121.630315482000,38.063099534500,208.81,N/A,slip rate study,Full range accounts for dating and offset uncertainties.  Range of 0.2 - 0.8 only accounts for uncertainties in age assignment.,N/A,0.1,1.2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),top of eolian deposits,correlation,unlisted,11-130,0.2,1,Unruh and Hitchcock (2009),no
Great Valley 7 (Orestimba),105,CA,approx centroid,S-0069,SR-0095,-121.287395652000,37.505070870200,144.03,N/A,slip rate study,"Geologic rate reported by USBR, Anderson and Piety (2001). Assumed fault dip of 30 degrees.",0.9,0.8,1.2,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),Quaternary surface,regional age corellation,unknown,130-750,0.2,1,Anderson and Piety (2001).,yes
Great Valley 8 (Quinto),106,CA,approx centroid,S-0070,SR-0096,-121.042142003000,37.168672214500,108.19,N/A,slip rate study,"Geologic rate reported by USBR, Anderson and Piety (2001). Assumed fault dip of 30 degrees.",0.5,0.4,0.6,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),Quaternary surface,regional age corellation,unlisted,130-750,1,5,Anderson and Piety (2001).,yes
Great Valley 9 (Laguna Seca),107,CA,approx centroid,S-0071,SR-0097,-120.867566030000,36.955780797800,80.62,N/A,slip rate study,"Geologic rate reported by USBR, Anderson and Piety (2001).  Reported offset and timing is the preferred, although other uplift values and age ranges are reported as alternatives. Assumed fault dip of 25 - 30 degrees.",1.7,1.4,2.3,unknown,projected (dip-slip),reported (author reported rate as recorded in Appendix B),Quaternary surface,regional age corellation,unlisted,130-750,1,5,Anderson and Piety (2001).,yes
Greenville (north),110,CA,per Berger and others (2010),S-0072,SR-0099,-121.722558649000,37.734236753500,174.67,N/A,slip rate study,"Minimum rate from Berger and others (2010).  Full rate probably not more than max rate reported by Sawyer and Unruh (2002) of 4.1  +/- 0.8.  Sawyer and Unruh (2012) report a best estimate rate of 1.9 +/- 0.3 mm/yr at the same site, but note this does not",N/A,2,4.9,unknown,horizontal,reported (see Sawyer and Unruh value in comments),offset channel,OSL,?,1-11,1,5,Berger and others (2010); Sawyer and Unruh (2012),yes
Hartley Springs,111,CA,per Bursik and others (2003),S-0073,SR-0101,-119.063801851000,37.807170313500,90.73,N/A,slip rate study,"Summed rate across three fault strands from profiles F1-2, F2-3 of Bursik and others (2003).  May still be minimum for zone.",N/A,0.2,1,unknown,unknown,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,11-130,0.2,1,Bursik and others (2003),yes
Hat Creek,112,CA,per Page and Renne (1994),S-0074,SR-0102,-121.446718595000,40.967838249100,494.45,N/A,slip rate study,"Two additional strands to the west with about > 0.10 mm/yr rates, so reported rate is a minimum.",N/A,0.39,1,unknown,unprojected (vertical),"reported (author reported rate as >0.39, therefore represent this rate as the 'LowRate' entry",offset basalt flow,Ar-Ar,unlisted,750-2600,0.2,1,Page and Renne (1994),yes
Hat Creek,112,CA,Hat Creek basalt,S-0075,SR-0104,-121.451847211000,40.923950144000,490.67,N/A,slip rate study,56 m of throw (maximum) within Hat Creek basalt dated at 24 +/- 6 ka,2.3,1.8,3.1,unknown,unprojected (vertical),reinterpreted given the uncertainty bounds (reported rates appear to be incorrect based on reported errors of measurements); pref = 56m/24ka; low = 56 m/30ka; high = 56m/18 ka,Hat Creek basalt offsets,Ar/Ar (age comes from Turrin et al 2007),unknown,24 +/- 6,0.2,1,Blakeslee and Kattenhorn (2013) Geosphere; Turrin et al (2007) Quaternary Research,no
Hayward (north),902,CA,Strawberry Creek,S-0076,SR-0422,-122.249769089000,37.872437432200,196.73,N/A,slip rate study,"Reported rate is 2 sigma.  Rate reported by Williams (1998), subsequent work by Williams has not improved this slip rate estimate significantly (Williams, written communication, 2012) and a manuscript is in preparation.",10.4,8.4,12.4,author reported 2sigma,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),channel,C14,unlisted,11-130,5,35,"Williams (1998); Williams, written communication (2012)",yes
Hayward (south),901,CA,Masonic Home,S-0077,SR-0169,-122.005093130000,37.595858225000,162.16,N/A,slip rate study,,9.2,7.8,10.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; with low and high shown here using uncertainty reported in Appendix B slip rate),offset fan apex,C14,unlisted,1-11,5,35,Lienkaemper and Borchardt (1996),yes
Helendale - Lockhart (south),114,CA,per Oskin and others (2008),S-0078,SR-0105,-117.158810487000,34.647442855000,0.74,MJVA-HSLZ-MULT-Helendale_South_Lockhart_fault-CFM5,slip rate study,Maximum rate.  Cosmogenic date on Q2b surface.,0.8,0.8,1.1,unknown,horizontal,"reported (author reported/recorded in Appendix B as maximum rate with uncertainty; pref reported value in Appendix B is preferred value here, with HighRate = highest possible maxmimum reported; LowRate = PrefRate)",offset alluvial fan,10Be,unlisted,11-130,0.2,1,Oskin and others (2008),yes
Hilton Creek,115,CA,Hilton Lakes,S-0079,SR-0106,-118.763000000000,37.506610000000,48.75,N/A,slip rate study,"Rate reported by Clarke and Gillespie (1993), age and offset values not reported.",N/A,0.1,0.8,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,unlisted,unlisted,unlisted,1,5,Clarke and Gillespie (1993),yes
Hilton Creek,115,CA,McGee Creek MN1A,S-0080,SR-0107,-118.787907038000,37.562582707100,54.42,N/A,slip rate study,"Rate revised to the reported rate of Berry (1997), rather than Clarke and Gillespie (1993). Berry (1997) is preferred because data is presented.  Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",N/A,0.9,1.2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,Berry (1997),yes
Hilton Creek,115,CA,"McGee Creek ""Tahoe""",S-0081,SR-0108,-118.787907038000,37.562582707100,54.42,N/A,slip rate study,"Rate revised to the reported rate of Berry (1997), rather than Clarke and Gillespie (1993). Berry (1997) is preferred because data is presented.  Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",N/A,0.9,2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,Berry (1997); Clarke and Gillespie (1993),yes
Hilton Creek,115,CA,McGee Creek MN2A,S-0082,SR-0109,-118.787907038000,37.562582707100,54.42,N/A,slip rate study,"Rate revised to the reported rate of Berry (1997), rather than Clarke and Gillespie (1993). Berry (1997) is preferred because data is presented.  Berry (1997) presents three rates for different age deposits (summarized in her Table 1).",N/A,1,1.3,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),offset glacial deposits,correlation,unlisted,11-130,1,5,Berry (1997),yes
Hilton Creek,115,CA,Tobacco Flat,S-0083,SR-0110,-118.814075303000,37.611936757200,59.84,N/A,slip rate study,"Rate reported by Clarke and Gillespie (1993), age and offset values not reported.",N/A,1.1,2,unknown,unprojected (vertical),reported (only range listed/no pref value from reported column of Appendix B; low and high shown here using uncertainty reported in Appendix B slip rate),unlisted,unlisted,unlisted,unlisted,1,5,Clarke and Gillespie (1993),yes
Hollywood,116,CA,Camino Palmero,S-0084,SR-0111,-118.350213523000,34.103598746900,0.22,WTRA-SFFS-LABS-Hollywood_fault-CFM5,slip rate study,"Offset is only vertical component.  Dolan and others (1997) assume a 1:1 Hz to Vertical ratio and report a minimum 0.35+/- 0.2 mm/yr oblique slip rate, but they note the rate could be higher.",0.35,0.33,0.37,unknown,net,"reported (author reported rate as recorded in Appendix B, including reported min and max rates; authors note this rate may be a minimum)",thickness of basin filling deposits,unlisted,unlisted,750-2600,0.2,1,Dolan and others (1997),yes
Holser,117,CA,"Near Ramona Oil field, to Castaic Junction oil field.",S-0085,SR-0056,-118.701353116000,34.444828325800,0.49,WTRA-SCFZ-SCLV-Holser_fault-CFM2,slip rate study,"Stitt (1986) presents three crossections.  Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field.  The three crossections are within 6 km of each other.  450 m is assumed to be representative a",N/A,0,1,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,Stitt (1986); Breyer and others (2009),no
Holser,117,CA,"Near Ramona Oil field, to Castaic Junction oil field.",S-0086,SR-0057,-118.701353116000,34.444828325800,0.49,WTRA-SCFZ-SCLV-Holser_fault-CFM2,slip rate study,"Stitt (1986) presents three crossections.  Two show about 450 m of vertical separation, with as much as 1800 m of vertical separation in the Ramona oil field.  The three crossections are within 6 km of each other.  450 m is assumed to be representative a",N/A,1,5,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset of Pico - Towsley Fm contact from crossections,correlation,unknown,750-2600,0.2,1,Stitt (1986); Breyer and others (2009),no
Honey Lake,120,CA,Long Valley Creek,S-0087,SR-0114,-120.119731246000,40.051666528300,349.29,N/A,slip rate study,offset fluvial terrace risers range from 6.6-28.3 m since 15.8 +/- 0.6 ka,1.6,1.3,1.9,95% CI reported by authors,projeted (strike-slip),reported min and max; prefered = midpoint between bounds on rate,T2/T1 riser,regional age corellation,unknown,15.8 +/- 0.6,1,5,"Gold et al., (2017) EPSL",no
Honey Lake,120,CA,Honey Lake,S-0088,SR-0115,-120.122194860000,40.053722925900,349.59,N/A,slip rate study,"Minimum slip rate, both in terms of along strike location and use of radiocarbon.  Also, this fault is parallel to the Warms Springs fault, about 7 km NW, which is geomorphically well expressed and may take up some unknown fraction of slip across a broad",1.7,1.1,2.3,unknown,horizontal,"reported (author reported rate as recorded in Appendix B, including reported min and max rates)",Offset channel/terrace riser,C14,unlisted,1-11,1,5,Turner and others (2008); Wills and Borchart (1993),no
Hosgri,121,CA,San Simeon Terrace,S-0089,SR-0116,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994).  The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line.  Hanson",8.6,8.6,11.2,unknown,horizontal,"reported (author reported rate as recorded in Appendix B as a maximum rate, thus PrefRate = low end of rante = LowRate)",unlisted,unlisted,unlisted,unlisted,1,5,Hanson and Lettis (1994); Hall and others. (1994),yes
Hosgri,121,CA,Oso Terrace,S-0090,SR-0117,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994).  The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line.  Hanson",N/A,0.7,2.6,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),unlisted,correlation (used sea level curves),unlisted,130-750,1,5,Hanson and Lettis (1994); Hall and others. (1994),yes
Hosgri,121,CA,Tripod Terrace,S-0091,SR-0118,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Reported site coordinates are for the Airport Creek site, which is approximately halfway between the piercing lines used by Hanson and Lettis (1994).  The amount of offset is dependant on a paleogeographic reconstruction of the paleo strand line.  Hanson",N/A,0.8,7.8,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),unlisted,unlisted,unlisted,unlisted,1,5,Hanson and Lettis (1994); Hall and others. (1994),yes
Hosgri,121,CA,Airport Creek,S-0092,SR-0119,-121.197184598000,35.655568322600,0.64,OCCA-HSFZ-MULT-Hosgri_fault-CFM5,slip rate study,"Both feature offset and age constraints are noted by authors as ""poorly constrained"".",N/A,0.9,3.4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,C14,unlisted,1-11,1,5,Hall and others (1994),yes
Hunter Mountain - Saline Valley,123,CA,Nelson Range Front,S-0093,SR-0120,-117.675860396000,36.612934283600,0.94,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,slip rate study,"Authors interpretation of age of incision does not appear to be correct.  They use the age of the Qf2 (10 - 128 ka) surface to constrain the slip rate.  However, the surface below the riser (Qf1) is Holocene, and would have to be abandoned before slip co",N/A,1.6,2,unknown,horizontal,reported (Appendix B has reinterpreted the age relationships and the reported rate here reflects those reinterpretations).,offset channel,See comments,unlisted,11-130,1,5,Oswald and Wesnousky (2002),yes
Hunter Mountain - Saline Valley,123,CA,n/a,S-0094,SR-0121,-117.644074462000,36.588092100800,1.1,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,slip rate study,"Slip rate assumes initiation of dextral slip is related to the onset of normal slip on the East Inyo fault zone to the north (in this case, the northern extension of the Hunter Mt - Saline Valley fault zone).",3.3,2.3,4.3,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),geologic contact,(U-Th)/He,unlisted,>2600,1,5,Lee and others (2009),yes
Hunter Mountain - Saline Valley,123,CA,Grapevine Canyon,S-0095,SR-0122,-117.553927742000,36.531253455200,0.34,SNFA-HMFZ-MULT-Hunter_Mountain_fault-CFM1,slip rate study,"Assumed 15 ka age, based on correlation of climate change to channel incision.  Rate is consistent with long term rate of Burchfiel and others. (1987).",N/A,3.3,4,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,correlation to assumed climate indicators,unlisted,11-130,1,5,Oswald and Wesnousky (2002),yes
Imperial,126,CA,US - Mexico Border,S-0096,SR-0124,-115.355380427000,32.676180841600,0.29,SALT-IMFZ-IMPV-Imperial_fault_Edip_Nend-CFM5,slip rate study,Only a one event slip rate. Slip rate appears to be nearly a full interval between earthquakes.,N/A,15,20,unknown,horizontal,reported (author reported rate as recorded in Appendix B; reported as range without preferred value),offset channel,correlation to lake highstand,1,<1,5,35,Thomas and Rockwell (1996),yes
Incline Village,1002,CA,per Dingler and others (2009),S-0097,SR-0191,-119.964099060000,39.234123851100,263.97,N/A,slip rate study,Similar to ~60 ka rate.,N/A,0.12,0.23,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),paleoterrace,correlation,1?,11-130,0.2,1,Dingler and others (2009),yes
Incline Village,1002,CA,per Dingler and others (2009),S-0098,SR-0192,-119.964099060000,39.234123851100,263.97,N/A,slip rate study,Similar to ~19 ka rate.,N/A,0.18,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),boulder surface,correlation/ C14,unlisted,11-130,0.2,1,Dingler and others (2009),yes
Incline Village,1002,NV,approx in Incline Village,S-0099,SR-0193,-119.962801976000,39.250930839100,265.47,N/A,slip rate study,8.2 m of vertical separation in surface less than 35-12 ky old,0.35,0.23,0.68,unknown,unprojected (vertical),reinterpreted (low = 8.2 m/35 ka; high = 8.2m/12ka; pref = 8.2m/23.5 ka),scarp height,relative/regional correlation?,unlisted,12-35,0.2,1,Lewis and Grose (1988) AGU abstract; Qfaults page,no
Independence,127,CA,Independence Creek,S-0100,SR-0125,-118.305413403000,36.783974091600,0.02,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,"Slip and age data from Clark and others (1984), vertical slip rates calculated by compiler.",N/A,0.05,0.12,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from  data),moraine,correlation,?,11-130,0.2,1,Clark and others (1984),yes
Independence,127,CA,Independence Creek,S-0101,SR-0126,-118.307150603000,36.789303587500,0.02,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,"Slip and age data from Clark and others (1984), vertical slip rates calculated by compiler.",N/A,0.07,0.16,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from  data),glacial outwash,correlation,2?,11-130,0,0.2,Clark and others (1984),yes
Independence,127,CA,Independence Creek,S-0102,SR-0127,-118.306529190000,36.787397262700,0.03,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,"Slip and age data from Clark and others (1984), vertical slip rates calculated by compiler.",N/A,0.08,0.19,unknown,projected (dip-slip),reported (author reported slip and age information; Appendix B calculates rate from  data),glacial outwash,correlation,1?,11-130,0,0.2,Clark and others (1984),yes
Independence,127,CA,Symmes Creek,S-0103,SR-0128,-118.276041151000,36.731511374500,0.11,SNFA-SSNZ-INDP-Independence_fault-CFM1,slip rate study,Representative site of study by Le and others (2007) along the fault.  They report similar vertical slip rates for other surfaces along this fault zone over different time periods.  Their preferred vertical slip rate is 0.2 - 0.3 mm/yr for all of these t,N/A,0.2,0.4,unknown,unprojected (vertilcal),reported (only range listed in Appendix B; no pref rate included),fan surface,10Be,unlisted,11-130,0.2,1,Le and others (2007),yes
Inks Creek - Hooker Dome,321,CA,wind gap,S-0104,SR-0779,-122.178054003000,40.319041558200,464.14,N/A,slip rate study,T3 terrace elevation differences to determine uplift where anticline crosses Sacramento River; 4.8 +/- 0.5 m of T3 elevation difference since 27.7 +/- 9.3 ka,0.2,0.1,0.3,unknown,unprojected (vertical),reported,T3 elevation difference,luminescence,unknown,27.7 +/- 9.3,0,0.2,"Angster et al., (2020) Geology",no
Kern Canyon (Lake Isabella),132,CA,Isabella Auxiliary Dam,S-0105,SR-0132,-118.474715312000,35.639986255600,0.03,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,"No offset data reported, just slip rate.",N/A,0.1,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,Lutz and others (2010),yes
Kern Canyon (north),133,CA,Soda Spring,S-0106,SR-0133,-118.413542849000,36.345009851500,0.47,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,Additional slip may be on a another strand to the west.  No info about number of events could make the reported rate poorly-constrained.,N/A,0.1,0.2,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,Amos and others (2010),yes
Kern Canyon (south),134,CA,Rincon Spring,S-0107,SR-0134,-118.449106003000,36.057731378200,0.05,GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,slip rate study,"No offset data reported, just slip rate.  Rate is similar to 5 ky rate.",N/A,0.2,0.3,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),trench stratigraphy,unlisted,unlisted,11-130,0,0.2,"Kelson (written communication, 2012)",yes
Lenwood - Lockhart - Old Woman Springs,142,CA,Northern site,S-0108,SR-0139,-116.991561793000,34.800402356300,0.82,MJVA-LWLZ-MULT-Lenwood_Lockhart_fault-CFM5,slip rate study,"Two sites, located 11 km apart.  However, southern site is considered by Oskin and others (2008) to be less well-constrained. However, the southern site reported rate of 1.2+/- 0.2 mm/yr, which is consistent with the northern site rate.",0.8,0.6,1,unknown,horizontal,reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),offset fan,10Be,unlisted,11-130,0.2,1,Oskin and others (2008),yes
Lions Head,144,CA,per Clark (1990),S-0109,SR-0141,-120.589065765000,34.855480017600,0.13,CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,slip rate study,"Poorly constrained rate based on offset marine terraces (Clark, 1990).  Unclear how Clark obtains his rate, but 0.012 mm/yr looks reasonable based on the reported ages and offset.",N/A,0.012,0.017,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),marine terrace,correlation,?,130-750,0,0.2,Clark (1990),yes
Little Lake,145,CA,Little Lake Narrows,S-0110,SR-0142,-117.897610007000,35.920234764200,0.48,SNFA-LLFZ-CNTR-Little_Lake_fault-CFM5,slip rate study,140-250m of dextral displacement since 212+/-14ka (eruption of Qb1 flow) to 197 +/- 11ka (inundatation of Qb2 in Owens River channel),0.7,0.7,1.3,unknown,projected (right-lateral),reported (low = pref),offset terrace riser,Ar/Ar,unlisted,197 +/- 11 - 212 +/- 14,1,5,"Amos et al., (2013) GSAB",no
Little Salmon (onshore),147,CA,"Sites 5, 6, 7",S-0111,SR-0144,-124.184924566000,40.661442090700,546.19,N/A,slip rate study,McCrory notes the long term rate is similar to the late Holocene rate from trenching studies and this rate probably captures the entire fault zone.  Rate is composite of 3 sites.,2.3,1.8,2.8,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,750-2600,1,5,"McCrory (1996, 2000)",yes
Little Salmon (onshore),147,CA,Site L2,S-0112,SR-0145,-124.184924566000,40.661442090700,546.19,N/A,slip rate study,"Clarke and Carver (1992) report the slip rate from trench data of 6 - 12 mm/yr.  However, this interpretation has several issues, some of which are outlined by McCrory (1996).  McCrory (1996, 2000) reinterprets the data and presents a slip rate for the p",4.6,2.5,6.7,unknown,unprojected (vertical),reported (author reported  as recorded in Appendix B; low and high represented from min and max values listed in Appendix B),unlisted,unlisted,unlisted,1-11,1,5,"Clarke and Carver (1992); McCrory (1996, 2000)",yes
Los Osos,151,CA,Lopez reservoir,S-0113,SR-0148,-120.598796430000,35.191163785200,0.13,CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,slip rate study,"Reported maximum rate of Lettis and Hall (1994), based on observations of marine terraces with little deformation across the fault.",0.1,0,0.1,unknown,unprojected (vertical),"reported (author reported maximum rate only, which is entered as both HighRate and PrefRate)",unlisted,unlisted,unlisted,11-131,0.2,1,Lettis and Hall (1994),yes
Los Osos,151,CA,Montana de Oro,S-0114,SR-0149,-120.866964123000,35.302348648400,0.12,CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,slip rate study,"Lettis and Hall calculate slip rates of 0.25 - 0.5 mm/yr, assuming a 60 degree dip and 0.4 - 0.8 mm/yr assuming a 30 degree dip.",N/A,0.2,0.4,unknown,unprojected (vertical),reported (author reported rate as recorded in Appendix B; reported as range without preferred value),marine terrace,correlation,unlisted,11-130,0.2,1,Lettis and Hall (1994),yes
Ludlow,153,CA,per Oskin and others (2008),S-0115,SR-0150,-116.192229850000,34.789060235000,0.25,MJVA-LCLZ-LDLW-Ludlow_fault-CFM5,slip rate study,Maximum slip rate.,0.4,0.2,0.6,unknown,unprojected (vertical),reported (rate reported as maximum with symmetrical uncertainty),offset channel,correlation to other dated surfaces,?,11-130,0.2,1,Oskin and others (2008),yes
"Lytle Creek (San Jacinto, connector)",154,CA,Lytle Creek,S-0116,SR-0040,-117.453851866000,34.193599274500,0.63,PNRA-SJFZ-SBRN-Lytle_Creek_fault-CFM5,slip rate study,"Minimum rate for the zone (multiple traces).   Soil correlation ages may be suspect, see Lindvall and Rubin cosmo ages for Day fan surface.  Metzger and Weldon (1983) also report a vertical rate of 0.04 - 0.1 mm/yr.",2.5,1,5,unknown,horizontal,reported (only preferred value listed in Appendix B; no uncertainty included),terrace,Soil correlation,unlisted,11-130,1,5,Metzger and Weldon (1983),yes
Maacama,155,CA,Haehl Creek (Channel A),S-0117,SR-0151,-123.340261624000,39.389870801000,387.4,N/A,slip rate study,Minimum rate.  Very similar to historic creep rate.,N/A,6,35,unknown,horizontal,"reported (rate listed as a minimum rate, so only applied to LowRate)",buried channel,C14,unlisted,<1,5,35,Larson and others (2005),yes
